Author,Comment,Published At
@M.akbarmu,"Itu di pekanbaru ada WARGA ETNIS ROHINGNYA YANG PUNYA MOTOR beli Cash😅😅😅<br><br>Berbahasa indonesia tidak bisa,bekerja tidak dan namun HIDUP NYAMAN di sana😅😅😅 silakan cek di you tube.<br><br>Saya khawatir lama kelamaan pekanbaru akan menjadi KUTUPALONG kedua😅😅😅😅<br><br>Kutupalong adalah Kamp penampungan warga rohingnya TERBESAR di dunia😂😂😂<br><br>Silakan cek di you tube😅😅😅<br><br>Bertindaklah SEKARANG JUGA WAHAI MASYARAKAT INDONESIA...<br><br>Jangan di beri ruang GEROMBOLAN PENDATANG SEPERTI INI...<br><br>Karena cenderung tidak ada nilai manfaat justru malah menambah BEBAN di kemudian hari...!!!!",2024-09-21T15:32:02Z
@AqilaNadiro,"Hehehe dulu pak jokowi usir rohingnya , mala di kira tidak PKI sekarang waduh , .... ??? Maka kalau masik p.jokowi masik menjabat cepat2 lah minta tolong p.jokowi....??",2024-03-18T21:20:38Z
@lezx_ID,Apakah ini alasan myanmar membantai rohingya,2024-03-17T21:04:23Z
@majelisshalawatnurmuhammad,Waspadalah<br>Indonesia,2024-03-14T19:02:40Z
@qorinatul2269,"Jangan suka memecah belah, sesama manusia harus saling membantu apalagi kepada sesama muslim. Temen temen islam jangan langsung telan mentah mentah headline media media. Kita punya akal untuk berpikir mencari pengetahuan sendiri. Kulik sendiri informasi yang baru muncul, jangan asal viral langsung setuju saja",2024-03-13T00:44:57Z
@bedjobedji2394,"Pemerintah harus berani dan lebih tegas juga serius menangani pendatang gelap Rohingya jangan kasih hati utk membiarkan Rohingya  menetap di Indonesia dan juga harus lebih keras menekan UNHCR lembaga asing yang gak ada manfaatnya samasekali bagi rakyat Indonesia untuk itu sebaiknya harus ditutup,, usir Rohingya dengan cara apapun....",2024-03-12T22:43:00Z
@MaznaEndalo,"Sangat setuju,usir dari bumi Indonesia",2024-03-12T03:22:17Z
@franketioki5668,Beda dgn Israel..,2024-03-09T23:57:33Z
@mrkennedy6509,Wktu dlu dibela sampe bela2in demo2 tuhh hahhahha,2024-03-09T15:37:39Z
@Mazrambakarsk1200chik,Jgn bagi Rohingya duk atas..terutama dlm kabinet. Ketua ape2 cabang ke.,2024-03-09T13:14:56Z
@nilafatia6559,Usir...,2024-03-09T03:09:24Z
@dianbandawasagalaksi8396,"Dulu Presiden Jokowi melarang org2 Rohingya ngungsi ke negara kita,lantas di demo oleh org2 so suci &amp; yg paling Islami dgn menyebut Presiden RI itu PKI,Fir&#39;aun,Dajjal lah,segala macam bentuk cacian,nah skr terbukti mereka Rohingya ini hanya berlebelkan Islam,sy muslim dr lahir,tp tdk setuju dgn Rohingya ngungsi di sini,sy lbh nerima pengungsi Palestina yg dtg ke negara kita,itu lbh baik bagi sy pribadi...💪💪🇲🇨❤️🇯🇴",2024-03-07T15:28:01Z
@suwiranatakesuma7033,Wkwkwk...gaza dibela2...rohingnya di ejek2..padahal 11/12...,2024-03-06T13:54:27Z
@MelooonWAVE,Invasi nusantara ❤,2024-03-03T23:03:26Z
@naililmarhama2453,Saya senang penjelasannya sangat jelas,2024-03-03T20:27:36Z
@a.m9286,Maaf israle Itu punya tanah sendiri yg di jamjikqn Allah kepada Bamgsa israel bukan arab,2024-03-03T15:26:22Z
@exwoodexoyo1404,Rasain loe,2024-03-03T08:52:37Z
@Rama185a,Tolak pengungsi rohingya!!!!<br>Selamatkan negara kita dari orang² yg rakus!<br>Yg setuju like!,2024-03-03T08:18:01Z
@davidkeliat7029,Anda tidak perlu menjadi seorang muslim untuk membantu Rohingya 😂😂😂😂,2024-03-03T06:47:51Z
